full_address,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE
1907 GOOD HOPE ROAD SE,1907 GOOD HOPE ROAD SE,402002.58,132926.08,38.86415169,-76.97692547,Ward 8,7504,20020,145293,,100,DC Address,
2100 FENDALL STREET SE,2100 FENDALL STREET SE,401716.72,132871.69,38.86366232,-76.9802194,Ward 8,7504,20020,289824,,100,DC Address,
4000 E STREET SE,4000 E STREET SE,404640,135032.31,38.88311549,-76.94652184,Ward 7,7703,20019,145830,,100,DC Address,
4002 E STREET SE,4002 E STREET SE,404635.75,135048,38.88325685,-76.94657072,Ward 7,7703,20019,146381,,100,DC Address,
4004 E STREET SE,4004 E STREET SE,404650.64,135053.58,38.88330704,-76.94639907,Ward 7,7703,20019,145831,,100,DC Address,
2119 SUITLAND TERRACE SE,2119 SUITLAND TERRACE SE,404393.55,132814.68,38.86313946,-76.94937646,Ward 7,7603,20020,145393,,100,DC Address,
2117 SUITLAND TERRACE SE,2117 SUITLAND TERRACE SE,404404.96,132816.18,38.86315291,-76.94924499,Ward 7,7603,20020,145392,,100,DC Address,
2115 SUITLAND TERRACE SE,2115 SUITLAND TERRACE SE,404413.64,132826.83,38.86324881,-76.9491449,Ward 7,7603,20020,145426,,100,DC Address,
2113 SUITLAND TERRACE SE,2113 SUITLAND TERRACE SE,404424.19,132835.64,38.86332812,-76.94902329,Ward 7,7603,20020,145422,,100,DC Address,
2014 FORT DAVIS STREET SE,2014 FORT DAVIS STREET SE,404325.56,132906.54,38.86396731,-76.95015928,Ward 7,7603,20020,145465,,100,DC Address,
2008 FORT DAVIS STREET SE,2008 FORT DAVIS STREET SE,404365.57,132921.37,38.8641007,-76.94969818,Ward 7,7603,20020,145470,,100,DC Address,
2002 FORT DAVIS STREET SE,2002 FORT DAVIS STREET SE,404330.27,132945.03,38.86431402,-76.95010477,Ward 7,7603,20020,145274,,100,DC Address,
3901 PENNSYLVANIA AVENUE SE,3901 PENNSYLVANIA AVENUE SE,404358.4,132984.85,38.86467259,-76.94978039,Ward 7,7603,20020,145796,,100,DC Address,
3903 PENNSYLVANIA AVENUE SE,3903 PENNSYLVANIA AVENUE SE,404366.61,132980.97,38.8646376,-76.94968582,Ward 7,7603,20020,145301,,100,DC Address,
3905 PENNSYLVANIA AVENUE SE,3905 PENNSYLVANIA AVENUE SE,404370.29,132967.37,38.86451507,-76.9496435,Ward 7,7603,20020,145307,,100,DC Address,
3907 PENNSYLVANIA AVENUE SE,3907 PENNSYLVANIA AVENUE SE,404377.08,132953.02,38.86438576,-76.94956535,Ward 7,7603,20020,145290,,100,DC Address,
210 43RD ROAD NE,210 43RD ROAD NE,405138.33,136139.27,38.89308463,-76.94077008,Ward 7,7803,20019,145704,,100,DC Address,
200 43RD ROAD NE,200 43RD ROAD NE,405127.51,136118.23,38.89289515,-76.94089496,Ward 7,7803,20019,53303,,100,DC Address,
4208 BENNING ROAD NE,4208 BENNING ROAD NE,405015.02,136133.05,38.89302931,-76.94219153,Ward 7,7803,20019,25469,,100,DC Address,
948 EASTERN AVENUE NE,948 EASTERN AVENUE NE,406676.99,137266.7,38.90323058,-76.92302288,Ward 7,7807,20019,82870,,100,DC Address,
622 EASTERN AVENUE NE,622 EASTERN AVENUE NE,407285.13,136658.89,38.89775038,-76.91601825,Ward 7,7807,20019,146371,,100,DC Address,
601 58TH STREET NE,601 58TH STREET NE,407150.44,136617.9,38.89738224,-76.91757136,Ward 7,7807,20019,5731,,100,DC Address,
612 EASTERN AVENUE NE,612 EASTERN AVENUE NE,407303.66,136640.29,38.89758267,-76.91580484,Ward 7,7807,20019,4674,,100,DC Address,
320 61ST STREET NE,320 61ST STREET NE,407466.05,136218.57,38.8937823,-76.91393742,Ward 7,7808,20019,306156,,100,DC Address,
4950 CALL PLACE SE,4950 CALL PLACE SE,405955.05,135232.91,38.88491465,-76.93136354,Ward 7,9904,20019,304672,,100,DC Address,
4732 BENNING ROAD SE,4732 BENNING ROAD SE,405769.32,135003.84,38.88285233,-76.93350614,Ward 7,9904,20019,17679,,100,DC Address,
1205 MORSE STREET NE,1205 MORSE STREET NE,400939.93,137266.87,38.90325697,-76.98916381,Ward 5,8802,20002,72019,,100,DC Address,
1227 MORSE STREET NE,1227 MORSE STREET NE,400992.61,137240.79,38.90302197,-76.98855652,Ward 5,8802,20002,285953,,100,DC Address,
1014 FLORIDA AVENUE NE,1014 FLORIDA AVENUE NE,400676.99,137336.75,38.90388672,-76.9921951,Ward 5,8802,20002,75754,,100,DC Address,
1138 FLORIDA AVENUE NE,1138 FLORIDA AVENUE NE,400840.94,137239.28,38.90300853,-76.99030507,Ward 5,8802,20002,73076,,100,DC Address,
1018 FLORIDA AVENUE NE,1018 FLORIDA AVENUE NE,400687.61,137325.99,38.90378944,-76.99207268,Ward 5,8802,20002,75469,,100,DC Address,
1151 MORSE STREET NE,1151 MORSE STREET NE,400795.59,137348.64,38.90399373,-76.99082777,Ward 5,8802,20002,72670,,100,DC Address,
1123 MORSE STREET NE,1123 MORSE STREET NE,400725.62,137384.87,38.90432016,-76.99163441,Ward 5,8802,20002,73577,,100,DC Address,
1354 QUEEN STREET NE,1354 QUEEN STREET NE,401521.9,137491.45,38.90527925,-76.98245394,Ward 5,8804,20002,66024,,100,DC Address,
